,geo_id,hot_big,hot_small,bar_big,bar_small
0,1001,8.0,D,,D
1,1003,51.0,34,12.0,24
2,1005,9.0,3,,D
3,1009,2.0,3,,D
4,1013,7.0,,,3
5,1015,27.0,8,4.0,6
6,1017,3.0,D,,5
7,1019,3.0,4,,
8,1021,6.0,3,,6
9,1023,3.0,,,D
10,1025,7.0,4,,D
11,1029,1.0,D,,D
12,1031,11.0,4,2.0,D
13,1033,10.0,D,3.0,3
14,1035,3.0,,,
15,1037,1.0,,,
16,1039,8.0,5,,6
17,1041,1.0,D,,D
18,1043,13.0,7,,
19,1045,7.0,3,3.0,7
20,1047,8.0,8,2.0,6
21,1049,7.0,7,,
22,1051,8.0,D,3.0,3
23,1053,7.0,4,,
24,1055,16.0,D,7.0,4
25,1057,1.0,D,,
26,1059,2.0,6,,D
27,1061,1.0,D,,3
28,1063,2.0,,,3
29,1067,1.0,D,,D
30,1069,26.0,7,13.0,12
31,1071,10.0,4,,3
32,1073,106.0,43,42.0,50
33,1077,10.0,3,3.0,D
34,1079,3.0,,,
35,1081,26.0,8,9.0,9
36,1083,9.0,9,1.0,6
37,1087,3.0,D,1.0,D
38,1089,61.0,14,33.0,22
39,1091,4.0,D,,D
40,1093,5.0,D,,
41,1095,13.0,6,3.0,5
42,1097,66.0,29,31.0,69
43,1099,4.0,D,,
44,1101,73.0,13,13.0,18
45,1103,23.0,D,2.0,6
46,1105,2.0,D,,D
47,1107,1.0,D,,D
48,1109,9.0,D,5.0,D
49,1111,2.0,D,,D
50,1113,9.0,D,1.0,6
51,1115,9.0,5,2.0,7
52,1117,27.0,21,5.0,10
53,1119,3.0,D,,4
54,1121,13.0,5,1.0,5
55,1123,9.0,3,,D
56,1125,38.0,25,22.0,20
57,1127,7.0,D,2.0,D
58,1129,1.0,,,D
59,1131,3.0,D,,D
60,2013,3.0,D,3.0,
61,2016,2.0,,1.0,
62,2020,77.0,151,44.0,10
63,2050,3.0,11,,
64,2060,4.0,5,,
65,2068,17.0,19,1.0,
66,2070,2.0,10,1.0,
67,2090,38.0,59,20.0,6
68,2100,5.0,14,2.0,
69,2105,6.0,11,1.0,
70,2110,15.0,28,10.0,
71,2122,58.0,216,24.0,4
72,2130,9.0,38,15.0,D
73,2150,8.0,29,7.0,
74,2164,1.0,12,,
75,2170,43.0,68,15.0,3
76,2180,3.0,11,3.0,D
77,2185,4.0,S,,
78,2195,2.0,5,1.0,
79,2198,5.0,22,3.0,
80,2220,7.0,25,3.0,
81,2230,5.0,D,1.0,
82,2240,13.0,11,2.0,
83,2261,28.0,38,3.0,3
84,2275,2.0,4,1.0,
85,2282,4.0,4,,
86,2290,4.0,10,1.0,3
87,4001,17.0,6,2.0,D
88,4003,47.0,28,21.0,11
89,4005,144.0,61,21.0,D
90,4007,19.0,16,12.0,D
91,4009,5.0,D,3.0,4
92,4011,1.0,D,2.0,D
93,4012,10.0,D,6.0,D
94,4013,436.0,374,303.0,140
95,4015,53.0,23,29.0,13
96,4017,53.0,23,7.0,
97,4019,143.0,101,98.0,37
98,4021,27.0,24,12.0,11
99,4023,18.0,16,4.0,9
100,4025,96.0,41,34.0,11
101,4027,36.0,4,22.0,8
102,5001,6.0,9,1.0,
103,5003,3.0,D,,
104,5005,20.0,38,3.0,4
105,5007,52.0,23,8.0,16
106,5009,6.0,7,,
107,5011,3.0,D,1.0,
108,5015,62.0,70,3.0,4
109,5017,3.0,,,D
110,5019,10.0,D,,
111,5021,1.0,D,,D
112,5023,9.0,9,1.0,D
113,5027,10.0,D,1.0,D
114,5029,5.0,D,2.0,D
115,5031,14.0,7,5.0,6
116,5033,16.0,7,1.0,3
117,5035,27.0,6,,D
118,5037,1.0,3,,D
119,5039,2.0,,,
120,5041,7.0,D,1.0,
121,5043,8.0,D,,
122,5045,22.0,5,2.0,6
123,5047,4.0,,,
124,5049,2.0,,,
125,5051,45.0,24,10.0,15
126,5053,1.0,,,D
127,5055,4.0,D,,3
128,5057,8.0,,,D
129,5059,6.0,8,,D
130,5061,1.0,3,,
131,5063,8.0,,1.0,
132,5065,1.0,6,1.0,
133,5067,3.0,,2.0,3
134,5069,16.0,5,1.0,6
135,5071,6.0,D,,D
136,5075,1.0,D,,
137,5079,1.0,,,
138,5081,1.0,4,,
139,5083,1.0,D,3.0,D
140,5085,11.0,D,1.0,D
141,5089,4.0,29,,D
142,5091,16.0,D,4.0,10
143,5093,16.0,5,2.0,5
144,5095,6.0,D,,D
145,5097,6.0,7,,
146,5099,1.0,,,
147,5101,2.0,9,,
148,5103,3.0,D,1.0,3
149,5105,1.0,D,,
150,5107,6.0,D,,D
151,5109,8.0,D,,
152,5111,3.0,D,,D
153,5113,7.0,18,,D
154,5115,16.0,D,2.0,D
155,5117,2.0,D,,D
156,5119,116.0,34,28.0,22
157,5121,2.0,D,,D
158,5123,10.0,4,,D
159,5125,15.0,12,1.0,D
160,5127,1.0,D,,
161,5131,24.0,9,6.0,15
162,5133,4.0,D,,D
163,5135,5.0,6,,D
164,5137,12.0,7,,D
165,5139,11.0,D,1.0,D
166,5141,3.0,3,,
167,5143,47.0,8,29.0,18
168,5145,13.0,6,,D
169,5149,1.0,D,,
170,6001,178.0,220,159.0,41
171,6003,3.0,D,,
172,6005,18.0,8,4.0,D
173,6007,29.0,23,28.0,9
174,6009,17.0,11,4.0,6
175,6011,8.0,3,4.0,4
176,6013,63.0,134,64.0,32
177,6015,19.0,8,1.0,
178,6017,59.0,70,19.0,6
179,6019,100.0,58,65.0,23
