,geo_id,state_name,state_code,county_name,area_sqmi,pop_est_2015,pop_den_2015,hotels,liquor_stores,household_median_income,bars
0,1001,Alabama,AL,"Autauga County, AL",594.439,55347,93.1079555682,9.0,3.0,51281,2.0
1,1003,Alabama,AL,"Baldwin County, AL",1589.808,203709,128.134340751,85.0,27.0,50254,36.0
2,1005,Alabama,AL,"Barbour County, AL",884.877,26489,29.9352339365,12.0,2.0,32964,2.0
3,1007,Alabama,AL,"Bibb County, AL",622.583,22583,36.2730752366,2.0,1.0,38678,2.0
4,1009,Alabama,AL,"Blount County, AL",644.807,57673,89.442267221,5.0,1.0,45813,2.0
5,1011,Alabama,AL,"Bullock County, AL",622.806,10696,17.1738872137,2.0,1.0,31938,4.0
6,1013,Alabama,AL,"Butler County, AL",776.828,20154,25.9439670043,10.0,2.0,32229,4.0
7,1015,Alabama,AL,"Calhoun County, AL",605.889,115620,190.827032674,35.0,6.0,41703,10.0
8,1017,Alabama,AL,"Chambers County, AL",596.531,34123,57.2023918288,4.0,2.0,34177,6.0
9,1019,Alabama,AL,"Cherokee County, AL",553.72,25859,46.7004984469,7.0,1.0,36296,4.0
10,1021,Alabama,AL,"Chilton County, AL",692.854,43943,63.4231742907,9.0,3.0,41627,7.0
11,1023,Alabama,AL,"Choctaw County, AL",913.5,13170,14.4170771757,6.0,1.0,33536,2.0
12,1025,Alabama,AL,"Clarke County, AL",1238.466,24675,19.9238412681,11.0,4.0,32011,2.0
13,1027,Alabama,AL,"Clay County, AL",603.961,13555,22.4435021467,2.0,1.0,35327,2.0
14,1029,Alabama,AL,"Cleburne County, AL",560.105,15018,26.8128297373,2.0,1.0,38056,2.0
15,1031,Alabama,AL,"Coffee County, AL",678.986,51211,75.4227627668,15.0,2.0,46729,3.0
16,1033,Alabama,AL,"Colbert County, AL",592.62,54354,91.7181330363,11.0,9.0,40576,6.0
17,1035,Alabama,AL,"Conecuh County, AL",850.157,12672,14.9054821639,6.0,2.0,24900,4.0
18,1037,Alabama,AL,"Coosa County, AL",650.926,10724,16.4749910128,4.0,1.0,31212,4.0
19,1039,Alabama,AL,"Covington County, AL",1030.457,37835,36.7167188927,13.0,3.0,36444,7.0
20,1041,Alabama,AL,"Crenshaw County, AL",608.84,13963,22.9337757046,2.0,1.0,36022,2.0
21,1043,Alabama,AL,"Cullman County, AL",734.898,82005,111.586914102,20.0,3.0,38971,4.0
22,1045,Alabama,AL,"Dale County, AL",561.15,49565,88.3275416555,10.0,3.0,45028,10.0
23,1047,Alabama,AL,"Dallas County, AL",978.695,41131,42.0263718523,16.0,2.0,27306,8.0
24,1049,Alabama,AL,"DeKalb County, AL",777.094,71130,91.5333280144,14.0,3.0,38192,4.0
25,1051,Alabama,AL,"Elmore County, AL",618.488,81468,131.721229838,9.0,3.0,53555,6.0
26,1053,Alabama,AL,"Escambia County, AL",945.08,37789,39.9849748169,11.0,2.0,32330,4.0
27,1055,Alabama,AL,"Etowah County, AL",535.284,103057,192.527704919,17.0,8.0,39220,11.0
28,1057,Alabama,AL,"Fayette County, AL",627.684,16759,26.6997406338,2.0,1.0,34680,4.0
29,1059,Alabama,AL,"Franklin County, AL",633.817,31696,50.0081253737,8.0,3.0,35372,2.0
30,1061,Alabama,AL,"Geneva County, AL",574.408,26777,46.6166905753,2.0,1.0,36024,4.0
31,1063,Alabama,AL,"Greene County, AL",647.105,8479,13.102974015,5.0,1.0,20541,4.0
32,1065,Alabama,AL,"Hale County, AL",643.943,15068,23.3995866094,2.0,1.0,32714,2.0
33,1067,Alabama,AL,"Henry County, AL",561.75,17221,30.6559857588,2.0,2.0,41997,2.0
34,1069,Alabama,AL,"Houston County, AL",579.826,104173,179.662519445,33.0,8.0,41571,25.0
35,1071,Alabama,AL,"Jackson County, AL",1077.867,52419,48.6321596264,14.0,3.0,37745,4.0
36,1073,Alabama,AL,"Jefferson County, AL",1111.279,660367,594.240510259,149.0,52.0,45610,92.0
37,1075,Alabama,AL,"Lamar County, AL",604.846,13886,22.9579099473,4.0,1.0,35450,4.0
38,1077,Alabama,AL,"Lauderdale County, AL",667.7,92596,138.679047476,13.0,14.0,43125,4.0
39,1079,Alabama,AL,"Lawrence County, AL",690.677,33115,47.9457112369,6.0,1.0,40003,4.0
40,1081,Alabama,AL,"Lee County, AL",607.552,156993,258.402572948,34.0,4.0,44570,18.0
41,1083,Alabama,AL,"Limestone County, AL",559.939,91663,163.70176037,18.0,6.0,49570,7.0
42,1085,Alabama,AL,"Lowndes County, AL",715.911,10458,14.6079610454,4.0,1.0,25876,4.0
