GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US01001,01001,"Autauga County, Alabama",7211,Traveler accommodation,2015,8,171,855,3649
0500000US01003,01003,"Baldwin County, Alabama",7211,Traveler accommodation,2015,51,1680,9770,44228
0500000US01005,01005,"Barbour County, Alabama",7211,Traveler accommodation,2015,9,40,94,596
0500000US01009,01009,"Blount County, Alabama",7211,Traveler accommodation,2015,2,a,D,D
0500000US01013,01013,"Butler County, Alabama",7211,Traveler accommodation,2015,7,80,230,968
0500000US01015,01015,"Calhoun County, Alabama",7211,Traveler accommodation,2015,27,274,981,3955
0500000US01017,01017,"Chambers County, Alabama",7211,Traveler accommodation,2015,3,33,120,527
0500000US01019,01019,"Cherokee County, Alabama",7211,Traveler accommodation,2015,3,12,25,115
0500000US01021,01021,"Chilton County, Alabama",7211,Traveler accommodation,2015,6,58,171,852
0500000US01023,01023,"Choctaw County, Alabama",7211,Traveler accommodation,2015,3,9,21,96
0500000US01025,01025,"Clarke County, Alabama",7211,Traveler accommodation,2015,7,80,242,1010
0500000US01029,01029,"Cleburne County, Alabama",7211,Traveler accommodation,2015,1,a,D,D
0500000US01031,01031,"Coffee County, Alabama",7211,Traveler accommodation,2015,11,106,377,1532
0500000US01033,01033,"Colbert County, Alabama",7211,Traveler accommodation,2015,10,74,212,878
0500000US01035,01035,"Conecuh County, Alabama",7211,Traveler accommodation,2015,3,14,47,198
0500000US01037,01037,"Coosa County, Alabama",7211,Traveler accommodation,2015,1,c,D,D
0500000US01039,01039,"Covington County, Alabama",7211,Traveler accommodation,2015,8,55,152,677
0500000US01041,01041,"Crenshaw County, Alabama",7211,Traveler accommodation,2015,1,a,D,D
0500000US01043,01043,"Cullman County, Alabama",7211,Traveler accommodation,2015,13,113,399,1955
0500000US01045,01045,"Dale County, Alabama",7211,Traveler accommodation,2015,7,100,723,2999
0500000US01047,01047,"Dallas County, Alabama",7211,Traveler accommodation,2015,8,84,256,1013
0500000US01049,01049,"DeKalb County, Alabama",7211,Traveler accommodation,2015,7,83,256,1210
0500000US01051,01051,"Elmore County, Alabama",7211,Traveler accommodation,2015,8,81,399,1876
0500000US01053,01053,"Escambia County, Alabama",7211,Traveler accommodation,2015,7,g,D,D
0500000US01055,01055,"Etowah County, Alabama",7211,Traveler accommodation,2015,16,173,568,2796
0500000US01057,01057,"Fayette County, Alabama",7211,Traveler accommodation,2015,1,a,D,D
0500000US01059,01059,"Franklin County, Alabama",7211,Traveler accommodation,2015,2,b,D,D
0500000US01061,01061,"Geneva County, Alabama",7211,Traveler accommodation,2015,1,a,D,D
0500000US01063,01063,"Greene County, Alabama",7211,Traveler accommodation,2015,2,a,D,D
0500000US01067,01067,"Henry County, Alabama",7211,Traveler accommodation,2015,1,a,D,D
0500000US01069,01069,"Houston County, Alabama",7211,Traveler accommodation,2015,26,423,1507,6669
0500000US01071,01071,"Jackson County, Alabama",7211,Traveler accommodation,2015,10,73,242,1030
0500000US01073,01073,"Jefferson County, Alabama",7211,Traveler accommodation,2015,106,2807,15749,67697
0500000US01077,01077,"Lauderdale County, Alabama",7211,Traveler accommodation,2015,10,345,1684,7249
0500000US01079,01079,"Lawrence County, Alabama",7211,Traveler accommodation,2015,3,17,67,273
0500000US01081,01081,"Lee County, Alabama",7211,Traveler accommodation,2015,26,390,1620,7467
0500000US01083,01083,"Limestone County, Alabama",7211,Traveler accommodation,2015,9,73,227,980
0500000US01087,01087,"Macon County, Alabama",7211,Traveler accommodation,2015,3,38,90,356
0500000US01089,01089,"Madison County, Alabama",7211,Traveler accommodation,2015,61,1447,5723,23197
0500000US01091,01091,"Marengo County, Alabama",7211,Traveler accommodation,2015,4,41,145,616
0500000US01093,01093,"Marion County, Alabama",7211,Traveler accommodation,2015,5,57,156,871
0500000US01095,01095,"Marshall County, Alabama",7211,Traveler accommodation,2015,13,119,341,1704
0500000US01097,01097,"Mobile County, Alabama",7211,Traveler accommodation,2015,66,1370,6667,27160
0500000US01099,01099,"Monroe County, Alabama",7211,Traveler accommodation,2015,4,22,68,287
0500000US01101,01101,"Montgomery County, Alabama",7211,Traveler accommodation,2015,73,1285,5990,25185
0500000US01103,01103,"Morgan County, Alabama",7211,Traveler accommodation,2015,23,170,488,2785
0500000US01105,01105,"Perry County, Alabama",7211,Traveler accommodation,2015,2,a,D,D
0500000US01107,01107,"Pickens County, Alabama",7211,Traveler accommodation,2015,1,a,D,D
0500000US01109,01109,"Pike County, Alabama",7211,Traveler accommodation,2015,9,139,385,1753
0500000US01111,01111,"Randolph County, Alabama",7211,Traveler accommodation,2015,2,a,D,D
0500000US01113,01113,"Russell County, Alabama",7211,Traveler accommodation,2015,9,126,476,1949
0500000US01115,01115,"St. Clair County, Alabama",7211,Traveler accommodation,2015,9,61,183,797
0500000US01117,01117,"Shelby County, Alabama",7211,Traveler accommodation,2015,27,416,1970,9413
0500000US01119,01119,"Sumter County, Alabama",7211,Traveler accommodation,2015,3,18,67,284
0500000US01121,01121,"Talladega County, Alabama",7211,Traveler accommodation,2015,13,107,312,1547
0500000US01123,01123,"Tallapoosa County, Alabama",7211,Traveler accommodation,2015,9,74,229,976
0500000US01125,01125,"Tuscaloosa County, Alabama",7211,Traveler accommodation,2015,38,681,2627,11378
0500000US01127,01127,"Walker County, Alabama",7211,Traveler accommodation,2015,7,86,237,1065
0500000US01129,01129,"Washington County, Alabama",7211,Traveler accommodation,2015,1,a,D,D
0500000US01131,01131,"Wilcox County, Alabama",7211,Traveler accommodation,2015,3,10,51,232
0500000US02013,02013,"Aleutians East Borough, Alaska",7211,Traveler accommodation,2015,3,a,D,D
0500000US02016,02016,"Aleutians West Census Area, Alaska",7211,Traveler accommodation,2015,2,b,D,D
0500000US02020,02020,"Anchorage Municipality, Alaska",7211,Traveler accommodation,2015,77,2954,17929,78738
0500000US02050,02050,"Bethel Census Area, Alaska",7211,Traveler accommodation,2015,3,14,57,257
0500000US02060,02060,"Bristol Bay Borough, Alaska",7211,Traveler accommodation,2015,4,14,25,391
0500000US02068,02068,"Denali Borough, Alaska",7211,Traveler accommodation,2015,17,122,937,13715
0500000US02070,02070,"Dillingham Census Area, Alaska",7211,Traveler accommodation,2015,2,b,D,D
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",7211,Traveler accommodation,2015,38,821,5084,25015
0500000US02100,02100,"Haines Borough, Alaska",7211,Traveler accommodation,2015,5,30,98,604
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",7211,Traveler accommodation,2015,6,17,56,901
0500000US02110,02110,"Juneau City and Borough, Alaska",7211,Traveler accommodation,2015,15,308,1580,6547
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",7211,Traveler accommodation,2015,58,422,2246,14802
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",7211,Traveler accommodation,2015,9,178,787,3576
0500000US02150,02150,"Kodiak Island Borough, Alaska",7211,Traveler accommodation,2015,8,65,306,1871
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",7211,Traveler accommodation,2015,1,a,D,D
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",7211,Traveler accommodation,2015,43,331,1721,13293
0500000US02180,02180,"Nome Census Area, Alaska",7211,Traveler accommodation,2015,3,b,D,D
0500000US02185,02185,"North Slope Borough, Alaska",7211,Traveler accommodation,2015,4,100,333,1587
0500000US02195,02195,"Petersburg Census Area, Alaska",7211,Traveler accommodation,2015,2,a,D,D
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",7211,Traveler accommodation,2015,5,a,D,D
0500000US02220,02220,"Sitka City and Borough, Alaska",7211,Traveler accommodation,2015,7,62,311,1980
0500000US02230,02230,"Skagway Municipality, Alaska",7211,Traveler accommodation,2015,5,8,57,1356
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",7211,Traveler accommodation,2015,13,32,121,1017
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",7211,Traveler accommodation,2015,28,204,860,7024
0500000US02275,02275,"Wrangell City and Borough, Alaska",7211,Traveler accommodation,2015,2,a,D,D
0500000US02282,02282,"Yakutat City and Borough, Alaska",7211,Traveler accommodation,2015,4,13,45,688
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",7211,Traveler accommodation,2015,4,4,11,94
0500000US04001,04001,"Apache County, Arizona",7211,Traveler accommodation,2015,17,232,817,4207
0500000US04003,04003,"Cochise County, Arizona",7211,Traveler accommodation,2015,47,519,1842,7442
0500000US04005,04005,"Coconino County, Arizona",7211,Traveler accommodation,2015,144,4601,23706,111103
0500000US04007,04007,"Gila County, Arizona",7211,Traveler accommodation,2015,19,476,2469,10982
0500000US04009,04009,"Graham County, Arizona",7211,Traveler accommodation,2015,5,53,153,566
0500000US04011,04011,"Greenlee County, Arizona",7211,Traveler accommodation,2015,1,a,D,D
0500000US04012,04012,"La Paz County, Arizona",7211,Traveler accommodation,2015,10,78,238,1007
0500000US04013,04013,"Maricopa County, Arizona",7211,Traveler accommodation,2015,436,26974,208963,770262
0500000US04015,04015,"Mohave County, Arizona",7211,Traveler accommodation,2015,53,945,3471,14957
0500000US04017,04017,"Navajo County, Arizona",7211,Traveler accommodation,2015,53,1253,6925,30752
0500000US04019,04019,"Pima County, Arizona",7211,Traveler accommodation,2015,143,9405,62632,253377
0500000US04021,04021,"Pinal County, Arizona",7211,Traveler accommodation,2015,27,1221,7487,30445
0500000US04023,04023,"Santa Cruz County, Arizona",7211,Traveler accommodation,2015,18,382,1602,6768
0500000US04025,04025,"Yavapai County, Arizona",7211,Traveler accommodation,2015,96,2026,10240,43637
0500000US04027,04027,"Yuma County, Arizona",7211,Traveler accommodation,2015,36,600,2845,11292
0500000US05001,05001,"Arkansas County, Arkansas",7211,Traveler accommodation,2015,6,40,107,428
0500000US05003,05003,"Ashley County, Arkansas",7211,Traveler accommodation,2015,3,31,104,455
0500000US05005,05005,"Baxter County, Arkansas",7211,Traveler accommodation,2015,20,218,583,2998
0500000US05007,05007,"Benton County, Arkansas",7211,Traveler accommodation,2015,52,949,4421,18700
0500000US05009,05009,"Boone County, Arkansas",7211,Traveler accommodation,2015,6,98,319,1479
0500000US05011,05011,"Bradley County, Arkansas",7211,Traveler accommodation,2015,3,8,16,51
0500000US05015,05015,"Carroll County, Arkansas",7211,Traveler accommodation,2015,62,488,1597,9130
0500000US05017,05017,"Chicot County, Arkansas",7211,Traveler accommodation,2015,3,20,30,154
0500000US05019,05019,"Clark County, Arkansas",7211,Traveler accommodation,2015,10,97,326,1444
0500000US05021,05021,"Clay County, Arkansas",7211,Traveler accommodation,2015,1,a,D,D
0500000US05023,05023,"Cleburne County, Arkansas",7211,Traveler accommodation,2015,9,123,391,2062
0500000US05027,05027,"Columbia County, Arkansas",7211,Traveler accommodation,2015,10,80,223,974
0500000US05029,05029,"Conway County, Arkansas",7211,Traveler accommodation,2015,5,120,766,3376
0500000US05031,05031,"Craighead County, Arkansas",7211,Traveler accommodation,2015,14,256,934,3869
0500000US05033,05033,"Crawford County, Arkansas",7211,Traveler accommodation,2015,16,156,464,2237
