GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US01001,01001,"Autauga County, Alabama",4453,"Beer, wine, and liquor stores",2015,3,9,52,188
0500000US01003,01003,"Baldwin County, Alabama",4453,"Beer, wine, and liquor stores",2015,27,96,591,2837
0500000US01005,01005,"Barbour County, Alabama",4453,"Beer, wine, and liquor stores",2015,2,a,D,D
0500000US01007,01007,"Bibb County, Alabama",4453,"Beer, wine, and liquor stores",2015,1,a,D,D
0500000US01011,01011,"Bullock County, Alabama",4453,"Beer, wine, and liquor stores",2015,1,a,D,D
0500000US01013,01013,"Butler County, Alabama",4453,"Beer, wine, and liquor stores",2015,2,a,D,D
0500000US01015,01015,"Calhoun County, Alabama",4453,"Beer, wine, and liquor stores",2015,6,24,87,271
0500000US01017,01017,"Chambers County, Alabama",4453,"Beer, wine, and liquor stores",2015,2,a,D,D
0500000US01021,01021,"Chilton County, Alabama",4453,"Beer, wine, and liquor stores",2015,3,6,31,150
0500000US01023,01023,"Choctaw County, Alabama",4453,"Beer, wine, and liquor stores",2015,1,a,D,D
0500000US01025,01025,"Clarke County, Alabama",4453,"Beer, wine, and liquor stores",2015,4,10,45,185
0500000US01029,01029,"Cleburne County, Alabama",4453,"Beer, wine, and liquor stores",2015,1,a,D,D
0500000US01031,01031,"Coffee County, Alabama",4453,"Beer, wine, and liquor stores",2015,2,a,D,D
0500000US01033,01033,"Colbert County, Alabama",4453,"Beer, wine, and liquor stores",2015,9,21,111,434
0500000US01035,01035,"Conecuh County, Alabama",4453,"Beer, wine, and liquor stores",2015,2,a,D,D
0500000US01039,01039,"Covington County, Alabama",4453,"Beer, wine, and liquor stores",2015,3,18,50,198
0500000US01041,01041,"Crenshaw County, Alabama",4453,"Beer, wine, and liquor stores",2015,1,a,D,D
0500000US01043,01043,"Cullman County, Alabama",4453,"Beer, wine, and liquor stores",2015,3,21,63,309
0500000US01045,01045,"Dale County, Alabama",4453,"Beer, wine, and liquor stores",2015,3,a,D,D
0500000US01047,01047,"Dallas County, Alabama",4453,"Beer, wine, and liquor stores",2015,2,a,D,D
0500000US01049,01049,"DeKalb County, Alabama",4453,"Beer, wine, and liquor stores",2015,3,9,30,112
0500000US01051,01051,"Elmore County, Alabama",4453,"Beer, wine, and liquor stores",2015,3,a,D,D
0500000US01053,01053,"Escambia County, Alabama",4453,"Beer, wine, and liquor stores",2015,2,a,D,D
